stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
704230267,5886,Southern @ Western Hills,,35.241514,-106.690305,,,,,,1,
704230268,5884,Southern @ Western Hills,,35.241691,-106.690658,,,,,,1,
704230710,7358,Southern @ Nicklaus,,35.241679,-106.6836,,,,,,1,
704230711,7360,Southern @ Nicklaus,,35.241509,-106.684096,,,,,,1,
70424004,7078,Unser @ Southern,,35.243993,-106.69715,,,,,,1,
6654,6654,Jefferson @ Tiburon,,35.171901,-106.592333,,,,,,1,
6656,6656,Jefferson @ San Francisco,,35.167431,-106.58993,,,,,,1,
6658,6658,Jefferson @ Masthead,,35.164669,-106.593226,,,,,,1,
6662,6662,Southbound Jefferson @ Osuna,,35.158382,-106.593369,,,,,,1,
704230437,5800,Jefferson @ Singer,,35.14413,-106.597083,,,,,,1,
unm,,U.N.M. Valencia,,34.729377,-106.70418,,,,,,,
